parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
48,aph-265980,"SHARKIE, Rebekha Carina Che",Eynesbury College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265980',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-eynesbury-college
46,aph-265980,"SHARKIE, Rebekha Carina Che",Eynesbury College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265980',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-eynesbury-college
47,aph-265980,"SHARKIE, Rebekha Carina Che",Eynesbury College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265980',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-eynesbury-college
46,aph-00apg,"SMITH, the Hon. Anthony (Tony) David Hawthorn",Carey Grammar School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '00APG',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-carey-grammar-school
48,aph-241710,"SMITH, Dean Anthony",Mirrabooka Senior High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '241710',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mirrabooka-senior-high-school
46,aph-241710,"SMITH, Dean Anthony",Mirrabooka Senior High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '241710',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mirrabooka-senior-high-school
47,aph-241710,"SMITH, Dean Anthony",Mirrabooka Senior High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '241710',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mirrabooka-senior-high-school
48,aph-281603,"SMITH, Marielle Feuerherdt","University Senior College, Adelaide",https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281603',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-university-senior-college-adelaide
46,aph-281603,"SMITH, Marielle Feuerherdt","University Senior College, Adelaide",https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281603',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-university-senior-college-adelaide
47,aph-281603,"SMITH, Marielle Feuerherdt","University Senior College, Adelaide",https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281603',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-university-senior-college-adelaide
48,aph-250156,"STEELE-JOHN, Jordon Alexander",Home educated,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '250156',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-home-educated
